coupe,num coupe,dimensions,voxel,labels
coronal,0,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,1,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,2,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,3,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,4,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,5,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,6,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,7,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,8,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65161), (3, 229), (42, 146)]"
coronal,9,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64657), (3, 509), (42, 370)]"
coronal,10,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64335), (2, 29), (3, 634), (41, 36), (42, 502)]"
coronal,11,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64050), (2, 71), (3, 720), (41, 73), (42, 622)]"
coronal,12,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63661), (2, 118), (3, 917), (41, 124), (42, 716)]"
coronal,13,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63280), (2, 157), (3, 1030), (41, 180), (42, 889)]"
coronal,14,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 62896), (2, 233), (3, 1167), (41, 222), (42, 1018)]"
coronal,15,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 62592), (2, 290), (3, 1284), (41, 322), (42, 1028), (47, 20)]"
coronal,16,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 62155), (2, 394), (3, 1301), (8, 49), (41, 408), (42, 1093), (47, 136)]"
coronal,17,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 61525), (2, 465), (3, 1393), (8, 230), (41, 415), (42, 1253), (47, 255)]"
coronal,18,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 60838), (2, 480), (3, 1507), (8, 357), (41, 481), (42, 1379), (46, 16), (47, 478)]"
coronal,19,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 60212), (2, 515), (3, 1635), (7, 4), (8, 530), (41, 594), (42, 1456), (46, 18), (47, 572)]"
coronal,20,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 59719), (2, 544), (3, 1715), (7, 26), (8, 612), (41, 712), (42, 1438), (46, 29), (47, 741)]"
coronal,21,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 59293), (2, 719), (3, 1680), (7, 45), (8, 647), (41, 799), (42, 1467), (46, 37), (47, 849)]"
coronal,22,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 58947), (2, 750), (3, 1729), (7, 32), (8, 779), (41, 759), (42, 1554), (46, 66), (47, 920)]"
coronal,23,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 58509), (2, 808), (3, 1769), (7, 40), (8, 861), (41, 865), (42, 1594), (46, 72), (47, 1018)]"
coronal,24,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57922), (2, 782), (3, 1922), (7, 65), (8, 1023), (41, 921), (42, 1638), (43, 6), (46, 131), (47, 1126)]"
coronal,25,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57514), (2, 787), (3, 2006), (7, 71), (8, 1121), (41, 951), (42, 1701), (43, 9), (46, 154), (47, 1222)]"
coronal,26,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57084), (2, 820), (3, 2100), (7, 110), (8, 1181), (41, 992), (42, 1754), (43, 10), (46, 197), (47, 1288)]"
coronal,27,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 56650), (2, 881), (3, 2184), (7, 72), (8, 1355), (41, 1114), (42, 1684), (43, 7), (46, 133), (47, 1456)]"
coronal,28,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 56287), (2, 932), (3, 2244), (7, 139), (8, 1374), (41, 1129), (42, 1764), (43, 6), (46, 177), (47, 1484)]"
coronal,29,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 55997), (2, 909), (3, 2344), (7, 194), (8, 1364), (41, 1081), (42, 1938), (43, 1), (46, 279), (47, 1429)]"
coronal,30,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 55548), (2, 900), (3, 2484), (7, 213), (8, 1440), (41, 972), (42, 2226), (46, 279), (47, 1474)]"
coronal,31,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 55201), (2, 984), (3, 2476), (7, 184), (8, 1553), (41, 1030), (42, 2269), (46, 200), (47, 1639)]"
coronal,32,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 54867), (2, 995), (3, 2526), (7, 250), (8, 1497), (41, 1081), (42, 2408), (46, 278), (47, 1634)]"
coronal,33,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 54411), (2, 1030), (3, 2611), (7, 274), (8, 1592), (41, 1210), (42, 2405), (46, 382), (47, 1621)]"
coronal,34,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 54057), (2, 1055), (3, 2717), (7, 348), (8, 1567), (41, 1261), (42, 2439), (46, 348), (47, 1744)]"
coronal,35,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53744), (2, 1183), (3, 2636), (7, 354), (8, 1647), (41, 1278), (42, 2595), (43, 1), (46, 403), (47, 1695)]"
coronal,36,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53472), (2, 1302), (3, 2612), (7, 409), (8, 1632), (41, 1403), (42, 2541), (43, 4), (46, 493), (47, 1668)]"
coronal,37,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53262), (2, 1380), (3, 2603), (7, 390), (8, 1680), (41, 1506), (42, 2528), (43, 6), (46, 423), (47, 1758)]"
coronal,38,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52995), (2, 1392), (3, 2671), (4, 12), (7, 499), (8, 1637), (41, 1667), (42, 2484), (43, 7), (46, 523), (47, 1649)]"
coronal,39,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52839), (2, 1405), (3, 2745), (4, 22), (7, 396), (8, 1708), (41, 1716), (42, 2516), (43, 11), (46, 473), (47, 1705)]"
coronal,40,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52719), (2, 1379), (3, 2873), (4, 30), (7, 443), (8, 1677), (15, 13), (41, 1718), (42, 2536), (43, 17), (46, 420), (47, 1711)]"
coronal,41,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52618), (2, 1441), (3, 2842), (4, 46), (7, 495), (8, 1598), (15, 35), (41, 1733), (42, 2615), (43, 22), (46, 466), (47, 1625)]"
coronal,42,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52578), (2, 1600), (3, 2780), (4, 58), (7, 463), (8, 1575), (15, 53), (41, 1737), (42, 2657), (43, 30), (46, 494), (47, 1511)]"
coronal,43,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52587), (2, 1641), (3, 2805), (4, 68), (7, 468), (8, 1468), (15, 91), (41, 1798), (42, 2618), (43, 44), (46, 419), (47, 1529)]"
coronal,44,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52592), (2, 1735), (3, 2736), (4, 70), (7, 481), (8, 1209), (15, 222), (16, 275), (41, 1767), (42, 2745), (43, 58), (46, 422), (47, 1224)]"
coronal,45,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52604), (2, 1763), (3, 2688), (4, 60), (7, 457), (8, 1123), (15, 263), (16, 322), (17, 82), (41, 1820), (42, 2764), (43, 69), (46, 406), (47, 1115)]"
coronal,46,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52595), (2, 1814), (3, 2671), (4, 45), (7, 407), (8, 1081), (15, 223), (16, 419), (17, 135), (41, 1819), (42, 2817), (43, 77), (46, 334), (47, 1072), (53, 27)]"
coronal,47,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52712), (2, 1896), (3, 2644), (4, 41), (7, 310), (8, 957), (15, 132), (16, 742), (17, 174), (41, 1939), (42, 2684), (43, 76), (46, 223), (47, 879), (53, 127)]"
coronal,48,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52790), (2, 1970), (3, 2658), (4, 41), (7, 215), (8, 910), (10, 61), (15, 130), (16, 865), (17, 75), (41, 2197), (42, 2491), (43, 65), (46, 195), (47, 717), (53, 156)]"
coronal,49,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53006), (2, 1925), (3, 2719), (4, 40), (7, 190), (8, 744), (10, 82), (15, 59), (16, 938), (17, 106), (41, 2256), (42, 2495), (43, 54), (46, 176), (47, 593), (49, 74), (53, 79)]"
coronal,50,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53265), (2, 1973), (3, 2709), (4, 39), (5, 2), (7, 144), (8, 538), (10, 170), (15, 21), (16, 1008), (17, 63), (41, 2303), (42, 2457), (43, 50), (44, 2), (46, 169), (47, 458), (49, 100), (53, 65)]"
coronal,51,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53499), (2, 1983), (3, 2686), (4, 35), (5, 2), (7, 148), (8, 361), (10, 241), (15, 13), (16, 985), (17, 68), (41, 2251), (42, 2490), (43, 39), (46, 149), (47, 355), (49, 153), (53, 78)]"
coronal,52,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53632), (2, 1986), (3, 2714), (4, 31), (5, 4), (7, 135), (8, 256), (10, 251), (15, 8), (16, 1016), (17, 74), (41, 2043), (42, 2687), (43, 31), (44, 3), (46, 167), (47, 218), (49, 209), (53, 71)]"
coronal,53,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53898), (2, 1873), (3, 2754), (4, 32), (5, 6), (7, 78), (8, 165), (10, 307), (15, 6), (16, 1056), (17, 82), (41, 1929), (42, 2676), (43, 24), (44, 4), (46, 116), (47, 172), (49, 269), (53, 89)]"
