coupe,num coupe,dimensions,voxel,labels
coronal,0,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,1,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64878), (3, 322), (42, 336)]"
coronal,2,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64420), (2, 5), (3, 523), (41, 20), (42, 568)]"
coronal,3,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64077), (2, 36), (3, 754), (41, 56), (42, 613)]"
coronal,4,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63503), (2, 117), (3, 1065), (41, 128), (42, 723)]"
coronal,5,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63022), (2, 225), (3, 1207), (41, 182), (42, 900)]"
coronal,6,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 62444), (2, 266), (3, 1382), (41, 225), (42, 1219)]"
coronal,7,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 61951), (2, 407), (3, 1472), (41, 357), (42, 1349)]"
coronal,8,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 61492), (2, 445), (3, 1661), (41, 368), (42, 1570)]"
coronal,9,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 61200), (2, 594), (3, 1692), (41, 522), (42, 1528)]"
coronal,10,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 60825), (2, 654), (3, 1775), (41, 534), (42, 1605), (47, 143)]"
coronal,11,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 60144), (2, 739), (3, 1776), (8, 228), (41, 604), (42, 1713), (47, 332)]"
coronal,12,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 59634), (2, 686), (3, 1947), (8, 359), (41, 546), (42, 1866), (47, 498)]"
coronal,13,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 59068), (2, 854), (3, 1928), (8, 503), (41, 752), (42, 1801), (47, 630)]"
coronal,14,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 58584), (2, 903), (3, 1956), (8, 686), (41, 881), (42, 1774), (47, 752)]"
coronal,15,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 58147), (2, 987), (3, 1969), (4, 2), (8, 785), (41, 878), (42, 1889), (47, 879)]"
coronal,16,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57749), (2, 1020), (3, 1964), (7, 8), (8, 890), (41, 985), (42, 1933), (46, 6), (47, 981)]"
coronal,17,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57214), (2, 982), (3, 2165), (4, 8), (7, 21), (8, 1004), (41, 991), (42, 2029), (46, 58), (47, 1064)]"
coronal,18,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 56586), (2, 1040), (3, 2262), (4, 11), (7, 35), (8, 1114), (41, 991), (42, 2260), (46, 80), (47, 1157)]"
coronal,19,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 56020), (2, 1027), (3, 2519), (4, 9), (7, 42), (8, 1223), (41, 1001), (42, 2364), (46, 89), (47, 1242)]"
