coupe,num coupe,dimensions,voxel,labels
coronal,0,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,1,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,2,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65443), (3, 93)]"
coronal,3,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65252), (3, 284)]"
coronal,4,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64975), (3, 475), (42, 86)]"
coronal,5,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64767), (2, 28), (3, 567), (42, 174)]"
coronal,6,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64298), (2, 110), (3, 737), (42, 391)]"
coronal,7,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63917), (2, 152), (3, 863), (41, 67), (42, 537)]"
coronal,8,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63566), (2, 322), (3, 825), (41, 74), (42, 749)]"
coronal,9,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63089), (2, 401), (3, 977), (41, 184), (42, 885)]"
coronal,10,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 62817), (2, 382), (3, 1048), (41, 279), (42, 934), (47, 76)]"
coronal,11,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 62013), (2, 542), (3, 1227), (8, 166), (41, 255), (42, 1116), (47, 217)]"
coronal,12,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 61438), (2, 516), (3, 1364), (8, 343), (41, 378), (42, 1095), (47, 402)]"
coronal,13,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 60372), (2, 632), (3, 1697), (8, 500), (41, 490), (42, 1255), (47, 590)]"
coronal,14,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 59971), (2, 683), (3, 1680), (7, 9), (8, 588), (41, 492), (42, 1453), (46, 9), (47, 651)]"
coronal,15,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 59577), (2, 720), (3, 1797), (7, 24), (8, 693), (41, 610), (42, 1359), (46, 29), (47, 727)]"
coronal,16,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 59070), (2, 867), (3, 1833), (7, 51), (8, 757), (41, 608), (42, 1488), (46, 48), (47, 814)]"
coronal,17,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 58510), (2, 943), (3, 1815), (4, 4), (7, 76), (8, 938), (41, 704), (42, 1532), (46, 61), (47, 953)]"
coronal,18,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57980), (2, 964), (3, 1912), (4, 7), (7, 72), (8, 998), (41, 750), (42, 1736), (46, 67), (47, 1050)]"
coronal,19,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57598), (2, 881), (3, 2074), (4, 17), (7, 82), (8, 1102), (41, 720), (42, 1850), (46, 70), (47, 1142)]"
coronal,20,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57156), (2, 888), (3, 2085), (4, 17), (7, 82), (8, 1254), (41, 855), (42, 1820), (43, 2), (46, 68), (47, 1309)]"
coronal,21,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 56631), (2, 829), (3, 2249), (4, 15), (7, 114), (8, 1331), (41, 898), (42, 1955), (43, 2), (46, 92), (47, 1420)]"
coronal,22,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 56327), (2, 970), (3, 2170), (4, 17), (7, 137), (8, 1420), (41, 940), (42, 1971), (43, 6), (46, 108), (47, 1470)]"
coronal,23,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 55972), (2, 1106), (3, 2189), (4, 16), (7, 173), (8, 1489), (41, 1029), (42, 1882), (43, 4), (46, 186), (47, 1490)]"
coronal,24,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 55521), (2, 1131), (3, 2286), (4, 15), (7, 167), (8, 1544), (41, 945), (42, 2141), (43, 7), (46, 160), (47, 1619)]"
coronal,25,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 55155), (2, 1025), (3, 2486), (4, 12), (7, 281), (8, 1536), (41, 983), (42, 2185), (43, 5), (46, 244), (47, 1624)]"
coronal,26,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 54670), (2, 1044), (3, 2650), (4, 13), (7, 303), (8, 1564), (41, 981), (42, 2383), (43, 5), (46, 276), (47, 1647)]"
coronal,27,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 54570), (2, 1097), (3, 2539), (4, 14), (7, 291), (8, 1607), (41, 1083), (42, 2418), (43, 4), (46, 286), (47, 1627)]"
coronal,28,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 54093), (2, 1198), (3, 2627), (4, 16), (7, 350), (8, 1622), (41, 999), (42, 2627), (43, 3), (46, 367), (47, 1634)]"
coronal,29,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53952), (2, 1298), (3, 2611), (4, 17), (7, 381), (8, 1626), (41, 1079), (42, 2583), (43, 1), (46, 391), (47, 1597)]"
coronal,30,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53704), (2, 1500), (3, 2472), (4, 20), (7, 428), (8, 1606), (41, 1309), (42, 2489), (43, 3), (46, 402), (47, 1603)]"
coronal,31,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53619), (2, 1546), (3, 2401), (4, 25), (7, 412), (8, 1667), (41, 1386), (42, 2472), (43, 5), (46, 415), (47, 1588)]"
coronal,32,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53027), (2, 1650), (3, 2504), (4, 32), (7, 496), (8, 1680), (41, 1483), (42, 2499), (43, 5), (46, 492), (47, 1668)]"
coronal,33,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52807), (2, 1749), (3, 2416), (4, 37), (7, 442), (8, 1789), (41, 1616), (42, 2462), (43, 9), (46, 435), (47, 1774)]"
coronal,34,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52699), (2, 1662), (3, 2664), (4, 46), (7, 540), (8, 1649), (15, 8), (41, 1566), (42, 2527), (43, 11), (46, 544), (47, 1620)]"
coronal,35,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52474), (2, 1752), (3, 2509), (4, 54), (7, 565), (8, 1622), (15, 24), (41, 1631), (42, 2667), (43, 16), (46, 548), (47, 1674)]"
coronal,36,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52237), (2, 1697), (3, 2753), (4, 81), (7, 544), (8, 1652), (15, 72), (41, 1605), (42, 2748), (43, 23), (46, 620), (47, 1504)]"
coronal,37,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52194), (2, 1776), (3, 2717), (4, 90), (7, 522), (8, 1627), (15, 77), (41, 1688), (42, 2687), (43, 26), (46, 556), (47, 1576)]"
coronal,38,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52209), (2, 1756), (3, 2758), (4, 107), (7, 478), (8, 1597), (15, 118), (41, 1910), (42, 2524), (43, 36), (46, 527), (47, 1516)]"
coronal,39,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52449), (2, 1759), (3, 2659), (4, 138), (7, 472), (8, 1492), (15, 122), (41, 1698), (42, 2705), (43, 55), (46, 496), (47, 1491)]"
coronal,40,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52483), (2, 1806), (3, 2631), (4, 152), (7, 493), (8, 1371), (15, 252), (41, 1681), (42, 2719), (43, 72), (46, 540), (47, 1336)]"
coronal,41,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52410), (2, 1907), (3, 2584), (4, 150), (7, 429), (8, 1270), (15, 270), (16, 189), (41, 1747), (42, 2790), (43, 91), (46, 426), (47, 1273)]"
coronal,42,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52462), (2, 1955), (3, 2705), (4, 165), (7, 406), (8, 1043), (15, 238), (16, 445), (41, 2068), (42, 2503), (43, 112), (46, 369), (47, 1065)]"
coronal,43,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52942), (2, 2120), (3, 2427), (4, 152), (7, 273), (8, 948), (15, 170), (16, 643), (17, 38), (41, 2051), (42, 2433), (43, 113), (46, 288), (47, 938)]"
coronal,44,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 52999), (2, 2239), (3, 2309), (4, 144), (7, 291), (8, 712), (15, 117), (16, 845), (17, 144), (41, 2026), (42, 2550), (43, 111), (46, 238), (47, 716), (53, 95)]"
coronal,45,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53280), (2, 2076), (3, 2442), (4, 148), (7, 243), (8, 687), (15, 71), (16, 875), (17, 173), (41, 2088), (42, 2383), (43, 101), (46, 210), (47, 615), (53, 144)]"
coronal,46,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53065), (2, 2038), (3, 2552), (4, 154), (7, 205), (8, 597), (15, 36), (16, 1015), (17, 178), (41, 2252), (42, 2383), (43, 91), (44, 5), (46, 213), (47, 593), (53, 159)]"
coronal,47,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53440), (2, 2049), (3, 2534), (4, 125), (5, 16), (7, 186), (8, 381), (10, 73), (15, 14), (16, 1114), (17, 114), (41, 2192), (42, 2452), (43, 88), (44, 4), (46, 205), (47, 363), (49, 38), (53, 148)]"
coronal,48,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53599), (2, 2228), (3, 2348), (4, 138), (5, 12), (7, 159), (8, 340), (10, 140), (16, 1121), (17, 93), (41, 2227), (42, 2330), (43, 97), (44, 6), (46, 170), (47, 331), (49, 86), (53, 111)]"
coronal,49,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 53680), (2, 2079), (3, 2492), (4, 113), (5, 4), (8, 219), (10, 175), (16, 1521), (17, 113), (41, 2312), (42, 2259), (43, 90), (44, 6), (47, 225), (49, 142), (53, 106)]"
coronal,50,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 54011), (2, 2105), (3, 2440), (4, 115), (5, 8), (8, 149), (10, 187), (16, 1449), (17, 102), (41, 2120), (42, 2309), (43, 77), (44, 7), (47, 182), (49, 169), (53, 106)]"
