coupe,num coupe,dimensions,voxel,labels
coronal,0,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65536)]"
coronal,1,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 65156), (3, 380)]"
coronal,2,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64806), (3, 548), (42, 182)]"
coronal,3,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 64381), (2, 63), (3, 652), (42, 440)]"
coronal,4,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63983), (2, 163), (3, 714), (42, 676)]"
coronal,5,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63252), (2, 138), (3, 1091), (41, 99), (42, 956)]"
coronal,6,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 63050), (2, 262), (3, 1057), (41, 55), (42, 1112)]"
coronal,7,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 62537), (2, 369), (3, 1078), (41, 250), (42, 1302)]"
coronal,8,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 62207), (2, 364), (3, 1221), (41, 297), (42, 1447)]"
coronal,9,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 61754), (2, 440), (3, 1419), (41, 370), (42, 1553)]"
coronal,10,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 61327), (2, 407), (3, 1671), (41, 419), (42, 1712)]"
coronal,11,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 61063), (2, 476), (3, 1771), (41, 711), (42, 1515)]"
coronal,12,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 60735), (2, 881), (3, 1576), (41, 678), (42, 1666)]"
coronal,13,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 60142), (2, 990), (3, 1708), (41, 1062), (42, 1440), (47, 194)]"
coronal,14,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 59412), (2, 1047), (3, 1835), (8, 68), (41, 1097), (42, 1743), (47, 334)]"
coronal,15,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 58855), (2, 1378), (3, 1729), (8, 243), (41, 1238), (42, 1650), (47, 443)]"
coronal,16,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 58333), (2, 1018), (3, 2194), (8, 386), (41, 1480), (42, 1532), (47, 593)]"
coronal,17,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57727), (2, 1229), (3, 2178), (4, 7), (8, 563), (41, 1133), (42, 1968), (43, 5), (46, 13), (47, 713)]"
coronal,18,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 57264), (2, 976), (3, 2560), (4, 11), (8, 641), (41, 1260), (42, 2002), (43, 12), (46, 41), (47, 769)]"
coronal,19,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 56690), (2, 1184), (3, 2499), (4, 15), (7, 45), (8, 705), (41, 1472), (42, 1911), (43, 15), (46, 47), (47, 953)]"
coronal,20,"(256, 256, 1)","(0.9375, 1.5, 0.9375, 0.0)","[(0, 56131), (2, 1058), (3, 2750), (4, 18), (7, 32), (8, 848), (41, 1429), (42, 2128), (43, 15), (46, 78), (47, 1049)]"
