1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.628990	83.006550	0.195535	300.9
1	-0.137787	82.759751	0.019781	1.5
2	-0.464980	82.514899	0.032797	1.4
3	-0.328587	82.271970	0.102029	1.3
4	-0.784824	82.030938	0.238332	1.4
5	-0.355040	81.791781	0.029466	1.4
6	-0.323090	81.554474	0.014534	1.4
7	-0.729897	81.318994	0.009512	1.4
8	-0.217537	81.085318	0.019681	1.3
9	-0.000000	80.853424	0.000000	1.2
10	-0.638726	80.623291	0.058676	1.4
11	-0.350455	80.394896	0.009130	1.3
12	-0.299119	80.168219	0.029939	1.4
13	-0.186791	79.943237	0.030233	1.4
14	-0.367140	79.719932	0.012069	1.4
15	-0.143299	79.498282	0.019083	0.9
16	-0.405622	79.278268	0.045361	2.5
17	-0.343393	79.059871	0.040440	1.9
18	-0.250421	78.843070	0.050942	1.4
19	-0.363460	78.627848	0.066692	1.4
20	-0.045745	78.414185	0.011215	1.4
21	-0.369421	78.202063	0.049275	1.4
22	-0.215838	77.991465	0.072073	2.1
23	-0.394438	77.782372	0.058365	1.4
24	-0.879585	77.574768	0.100544	2.7
25	-0.076643	77.368635	0.017954	3.5
26	-0.727574	77.163955	0.137055	1.4
27	-0.172972	76.960714	0.063624	3.3
28	-0.404497	76.758894	0.020043	2.2
29	-0.445680	76.558479	0.107844	1.7
30	-0.432918	76.359453	0.063149	2.1
31	-0.445471	76.161801	0.085713	1.9
32	-0.595585	75.965507	0.119737	3.1
33	-0.848213	75.770557	0.146806	1.5
34	-0.605696	75.576936	0.139787	1.6
35	-0.370900	75.384628	0.028832	1.6
36	-0.284468	75.193619	0.068605	1.5
37	-0.421755	75.003896	0.123234	1.7
38	-0.347523	74.815444	0.048701	2.1
39	-0.750512	74.628249	0.180460	1.6
40	-0.300035	74.442298	0.060232	1.6
41	-0.740427	74.257577	0.109865	1.7
42	-1.073537	74.074074	0.125904	1.6
43	-0.228004	73.891775	0.046467	1.5
44	-0.883701	73.710668	0.207357	1.5
45	-0.372580	73.530739	0.060139	1.5
46	-0.481518	73.351977	0.040186	1.5
47	-0.530071	73.174369	0.113228	1.7
48	-0.557916	72.997904	0.035847	1.5
49	-0.095548	72.822568	0.024300	1.6
50	-0.239276	72.648351	0.024869	2.1
51	-0.792368	72.475242	0.071474	1.5
52	-0.777875	72.303227	0.100444	1.5
53	-0.302209	72.132298	0.050402	1.6
54	-0.102010	71.962441	0.005763	1.5
55	-0.686383	71.793647	0.235200	2.1
56	-0.260455	71.625905	0.039570	2.2
57	-0.219846	71.459204	0.029029	3.1
58	-0.328616	71.293533	0.066828	1.5
59	-0.506183	71.128883	0.069755	1.4
60	-0.161515	70.965243	0.030489	1.7
61	-1.050195	70.802602	0.110284	1.4
62	-0.478416	70.640953	0.028416	1.5
63	-0.136621	70.480283	0.042783	1.5
64	-0.202032	70.320584	0.045563	1.7
65	-0.287297	70.161847	0.085484	1.4
