1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.387795	83.006550	0.149082	298.3
1	-0.250043	82.759751	0.060877	1.4
2	-0.105237	82.514899	0.025031	1.4
3	-0.110553	82.271970	0.028824	1.4
4	-0.724536	82.030938	0.210830	1.5
5	-0.370055	81.791781	0.018441	2.1
6	-0.186385	81.554474	0.058843	1.6
7	-0.163345	81.318994	0.002334	1.5
8	-0.269074	81.085318	0.025762	1.4
9	-0.183506	80.853424	0.033517	1.4
10	-0.408763	80.623291	0.071810	1.4
11	-0.223949	80.394896	0.031160	1.4
12	-0.495446	80.168219	0.123589	1.4
13	-0.015640	79.943237	0.001256	1.4
14	-0.378468	79.719932	0.099133	1.4
15	-0.201407	79.498282	0.034195	1.4
16	-0.155554	79.278268	0.034446	1.4
17	-0.176012	79.059871	0.026995	1.4
18	-0.353059	78.843070	0.073640	1.4
19	-0.534155	78.627848	0.130655	2.8
20	-0.000000	78.414185	0.000000	1.9
21	-0.352568	78.202063	0.042501	1.6
22	-0.537313	77.991465	0.184769	1.4
23	-0.368936	77.782372	0.032704	1.4
24	-0.546404	77.574768	0.081287	1.4
25	-0.483749	77.368635	0.053064	1.4
26	-0.063843	77.163955	0.020535	1.7
27	-0.267813	76.960714	0.038970	2.1
28	-0.153768	76.758894	0.043827	1.6
29	-0.465667	76.558479	0.055592	1.4
30	-0.416916	76.359453	0.038986	1.4
31	-0.150821	76.161801	0.079589	1.4
32	-0.839053	75.965507	0.268114	1.4
33	-0.397759	75.770557	0.031820	1.4
34	-0.392379	75.576936	0.093008	1.4
35	-0.546810	75.384628	0.056709	1.4
36	-0.184207	75.193619	0.031738	1.4
37	-0.125219	75.003896	0.021995	1.4
38	-0.185217	74.815444	0.031838	3.2
39	-0.696040	74.628249	0.101523	1.6
40	-0.181989	74.442298	0.040850	1.4
41	-0.286158	74.257577	0.049863	1.4
42	-0.378328	74.074074	0.054672	1.4
43	-0.114065	73.891775	0.046382	1.4
44	-0.443439	73.710668	0.074245	1.4
45	-0.728305	73.530739	0.064158	1.4
46	-0.491947	73.351977	0.058104	1.2
