1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.143325	83.006550	0.059567	301.6
1	-0.805560	82.759751	0.142342	2.1
2	-0.974608	82.514899	0.146913	1.7
3	-1.071387	82.271970	0.181827	1.5
4	-0.714988	82.030938	0.136613	1.5
5	-0.527939	81.791781	0.036873	1.6
6	-0.702170	81.554474	0.099065	1.7
7	-0.497901	81.318994	0.075102	2.2
8	-0.465607	81.085318	0.023355	1.2
9	-0.841868	80.853424	0.079258	2.2
10	-1.049921	80.623291	0.163723	3.0
11	-0.443577	80.394896	0.086154	8.0
12	-0.523716	80.168219	0.026874	1.6
13	-1.071441	79.943237	0.104283	1.6
14	-1.134885	79.719932	0.119770	2.6
15	-0.724677	79.498282	0.087757	1.5
16	-1.199758	79.278268	0.082548	1.7
17	-1.359802	79.059871	0.195254	1.4
18	-0.660776	78.843070	0.064644	1.4
19	-0.894727	78.627848	0.045412	2.3
20	-1.525154	78.414185	0.068409	1.9
21	-0.832035	78.202063	0.167844	1.4
22	-0.295184	77.991465	0.052549	1.8
23	-0.367040	77.782372	0.033420	1.6
24	-1.036522	77.574768	0.123543	1.6
25	-0.355464	77.368635	0.080769	1.4
26	-0.704774	77.163955	0.106488	1.6
27	-1.303573	76.960714	0.117101	1.5
28	-0.194706	76.758894	0.055773	1.3
29	-0.036032	76.558479	0.001897	1.5
30	-0.734255	76.359453	0.146003	1.5
31	-1.239584	76.161801	0.105213	1.6
32	-0.791957	75.965507	0.239793	2.6
33	-0.002625	75.770557	0.003484	1.5
34	-1.002591	75.576936	0.060191	1.8
35	-0.208792	75.384628	0.037892	1.5
36	-0.898660	75.193619	0.079703	1.7
37	-0.511279	75.003896	0.106478	1.4
38	-0.651743	74.815444	0.081994	2.3
39	-0.499336	74.628249	0.069120	1.8
40	-1.013806	74.442298	0.088443	1.5
41	-0.843582	74.257577	0.167822	1.8
42	-0.491735	74.074074	0.046181	1.3
43	-0.557865	73.891775	0.067879	1.5
44	-0.240992	73.710668	0.055235	1.5
45	-1.249731	73.530739	0.233603	1.5
46	-0.672649	73.351977	0.084741	1.8
47	-0.994823	73.174369	0.116644	1.5
48	-0.000000	72.997904	0.000000	2.0
49	-0.165539	72.822568	0.023961	2.3
50	-0.236877	72.648351	0.033507	4.4
51	-0.465257	72.475242	0.068271	2.0
52	-0.207019	72.303227	0.034314	1.9
53	-0.961988	72.132298	0.102429	3.1
54	-0.798723	71.962441	0.123008	2.8
55	-0.702169	71.793647	0.062221	1.7
56	-0.537665	71.625905	0.037795	1.6
57	-0.963042	71.459204	0.090596	1.9
58	-0.985047	71.293533	0.089612	1.6
59	-0.887037	71.128883	0.103859	1.4
60	-0.839890	70.965243	0.060581	1.4
61	-1.584422	70.802602	0.122115	1.4
62	-1.479096	70.640953	0.085279	2.7
63	-0.696726	70.480283	0.114352	2.1
64	-0.399728	70.320584	0.089696	3.8
65	-0.000000	70.161847	0.000000	1.9
66	-1.070627	70.004062	0.186116	1.4
67	-0.252494	69.847219	0.034653	1.4
68	-0.709220	69.691310	0.106338	1.6
69	-0.537571	69.536325	0.158462	1.7
70	-0.868718	69.382257	0.154047	1.4
71	-0.878600	69.229095	0.115219	2.4
72	-0.620291	69.076831	0.064046	1.6
73	-1.204188	68.925458	0.050905	1.5
74	-0.837732	68.774965	0.047575	1.5
75	-0.520569	68.625346	0.124612	1.4
76	-0.596325	68.476591	0.050043	1.8
77	-1.049097	68.328694	0.102974	2.5
78	-1.434415	68.181645	0.107962	4.7
79	-1.382180	68.035437	0.365395	3.2
80	-0.429874	67.890062	0.029307	3.9
81	-0.040372	67.745512	0.006087	2.1
82	-1.096411	67.601780	0.096554	2.1
83	-0.416305	67.458859	0.038438	1.6
84	-0.671687	67.316741	0.070230	1.5
85	-0.624988	67.175418	0.112756	1.6
86	-0.441384	67.034883	0.036844	7.2
87	-1.315776	66.895130	0.057061	1.6
88	-0.321858	66.756151	0.056615	1.6
89	-0.000050	66.617940	0.000104	1.5
90	-0.249394	66.480489	0.029214	1.5
91	-0.652599	66.343791	0.020625	4.3
92	-1.475860	66.207841	0.094089	1.4
93	-0.598043	66.072631	0.020768	1.2
94	-0.950934	65.938154	0.096941	1.2
95	-0.214189	65.804405	0.011865	1.3
96	-0.319305	65.671378	0.039145	2.7
97	-0.904843	65.539064	0.145023	1.4
98	-0.540643	65.407460	0.054485	1.4
99	-1.250155	65.276557	0.080674	1.6
100	-0.299585	65.146352	0.045554	1.2
101	-0.727560	65.016836	0.075021	1.7
102	-0.499900	64.888005	0.155085	1.7
103	-0.793651	64.759852	0.076943	2.1
104	-0.605895	64.632372	0.064656	1.6
105	-0.585451	64.505558	0.097751	1.5
106	-0.377061	64.379407	0.129664	6.5
107	-1.244079	64.253911	0.420595	4.5
108	-0.286428	64.129065	0.021112	1.5
109	-0.741520	64.004864	0.046671	1.6
110	-0.201205	63.881302	0.021563	1.8
111	-0.461309	63.758375	0.083133	1.6
112	-0.522809	63.636076	0.038468	1.4
113	-0.250659	63.514401	0.013745	1.5
114	-0.520961	63.393344	0.040462	2.0
115	-0.632953	63.272901	0.063964	1.6
116	-0.121325	63.153066	0.015026	1.5
117	-0.151019	63.033834	0.042406	1.6
118	-0.973089	62.915201	0.129987	1.6
119	-0.897926	62.797161	0.042058	1.5
120	-0.058950	62.679710	0.014027	1.7
121	-0.210392	62.562843	0.035128	1.5
122	-0.248307	62.446555	0.028539	1.6
123	-0.578759	62.330841	0.073898	2.4
124	-0.666727	62.215698	0.071503	1.4
125	-0.148398	62.101120	0.021542	1.5
126	-0.362039	61.987104	0.020459	1.4
127	-0.334617	61.873643	0.024570	1.7
128	-0.352300	61.760735	0.020896	2.0
129	-0.760207	61.648375	0.058684	1.4
130	-0.575313	61.536558	0.062133	1.9
131	-0.425171	61.425280	0.026637	1.5
132	-0.359122	61.314537	0.079919	1.4
133	-0.931230	61.204325	0.070433	1.5
134	-1.191458	61.094640	0.210789	1.4
135	-0.242219	60.985478	0.056699	1.5
136	-0.251550	60.876834	0.052145	1.4
137	-0.764711	60.768704	0.037855	1.4
138	-0.603087	60.661085	0.150675	1.4
139	-0.574858	60.553973	0.124797	1.4
140	-0.607659	60.447364	0.062988	1.4
141	-0.514893	60.341254	0.076840	1.4
142	-0.616051	60.235639	0.079951	2.6
143	-0.810409	60.130516	0.149465	1.7
144	-0.506856	60.025880	0.127817	1.4
145	-0.000000	59.921729	0.000000	1.3
146	-1.185724	59.818058	0.151907	1.4
147	-0.714855	59.714864	0.066815	2.3
148	-0.230614	59.612144	0.054277	1.6
149	-0.827809	59.509893	0.099982	1.5
150	-1.048064	59.408109	0.273838	1.4
