coupe,num coupe,dimensions,labels
coronal,0,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,1,"(256, 256, 1)","[('Unknown', '85899.0234'), ('cortex of left cerebral hemisphere', '500.9766')]"
coronal,2,"(256, 256, 1)","[('Unknown', '85437.5977'), ('cortex of left cerebral hemisphere', '722.4609'), ('cortex of right cerebral hemisphere', '239.9414')]"
coronal,3,"(256, 256, 1)","[('Unknown', '84877.2949'), ('white matter of left cerebral hemisphere', '83.0566'), ('cortex of left cerebral hemisphere', '859.5703'), ('cortex of right cerebral hemisphere', '580.0781')]"
coronal,4,"(256, 256, 1)","[('Unknown', '84352.5879'), ('white matter of left cerebral hemisphere', '214.8926'), ('cortex of left cerebral hemisphere', '941.3086'), ('cortex of right cerebral hemisphere', '891.2109')]"
coronal,5,"(256, 256, 1)","[('Unknown', '83388.8672'), ('white matter of left cerebral hemisphere', '181.9336'), ('cortex of left cerebral hemisphere', '1438.3301'), ('white matter of right cerebral hemisphere', '130.5176'), ('cortex of right cerebral hemisphere', '1260.3516')]"
coronal,6,"(256, 256, 1)","[('Unknown', '83122.5586'), ('white matter of left cerebral hemisphere', '345.4102'), ('cortex of left cerebral hemisphere', '1393.5059'), ('white matter of right cerebral hemisphere', '72.5098'), ('cortex of right cerebral hemisphere', '1466.0156')]"
coronal,7,"(256, 256, 1)","[('Unknown', '82446.2402'), ('white matter of left cerebral hemisphere', '486.4746'), ('cortex of left cerebral hemisphere', '1421.1914'), ('white matter of right cerebral hemisphere', '329.5898'), ('cortex of right cerebral hemisphere', '1716.5039')]"
coronal,8,"(256, 256, 1)","[('Unknown', '82011.1816'), ('white matter of left cerebral hemisphere', '479.8828'), ('cortex of left cerebral hemisphere', '1609.7168'), ('white matter of right cerebral hemisphere', '391.5527'), ('cortex of right cerebral hemisphere', '1907.6660')]"
coronal,9,"(256, 256, 1)","[('Unknown', '81413.9648'), ('white matter of left cerebral hemisphere', '580.0781'), ('cortex of left cerebral hemisphere', '1870.7520'), ('white matter of right cerebral hemisphere', '487.7930'), ('cortex of right cerebral hemisphere', '2047.4121')]"
coronal,10,"(256, 256, 1)","[('Unknown', '80851.0254'), ('white matter of left cerebral hemisphere', '536.5723'), ('cortex of left cerebral hemisphere', '2202.9785'), ('white matter of right cerebral hemisphere', '552.3926'), ('cortex of right cerebral hemisphere', '2257.0312')]"
